Title,Year,Rating,Votes,Genres
Top Gun: Maverick,2022,8.2,801068,"Action, Drama"
No Country for Old Men,2007,8.2,1144393,"Crime, Drama, Thriller"
The Thing,1982,8.2,506832,"Horror, Mystery, Sci-Fi"
Unforgiven,1992,8.2,459190,"Drama, Western"
El Laberinto Del Fauno,2006,8.2,731315,"Drama, Fantasy, War"
Kill Bill: Vol. 1,2003,8.2,1266334,"Action, Crime, Thriller"
A Beautiful Mind,2001,8.2,1032009,"Biography, Drama, Mystery"
Prisoners,2013,8.2,891537,"Crime, Drama, Mystery"
The Treasure of the Sierra Madre,1948,8.2,138818,"Adventure, Drama, Western"
Yojimbo,1961,8.2,139691,"Action, Drama, Thriller"
Finding Nemo,2003,8.2,1174986,"Animation, Adventure, Comedy"
Howl's Moving Castle,2004,8.2,492749,"Animation, Adventure, Family"
La meglio gioventù,2003,8.4,26144,"Drama, Romance"
The Great Escape,1963,8.2,271722,"Adventure, Drama, Thriller"
Monty Python and the Holy Grail,1975,8.2,593286,"Adventure, Comedy, Fantasy"
The Elephant Man,1980,8.2,276040,"Biography, Drama"
Klaus,2019,8.2,219210,"Animation, Adventure, Comedy"
Dial M for Murder,1954,8.2,200249,"Crime, Drama, Mystery"
Gone with the Wind,1939,8.2,349927,"Drama, Romance, War"
El Secreto De Sus Ojos,2009,8.2,236148,"Drama, Mystery, Romance"
Chinatown,1974,8.1,369154,"Drama, Mystery, Thriller"
"Lock, Stock and Two Smoking Barrels",1998,8.1,639991,"Comedy, Crime"
V for Vendetta,2005,8.1,1225130,"Action, Drama, Sci-Fi"
Rashōmon,1950,8.1,191908,"Crime, Drama, Mystery"
Inside Out,2015,8.1,882689,"Animation, Adventure, Comedy"
"Three Billboards Outside Ebbing, Missouri",2017,8.1,590422,"Comedy, Crime, Drama"
Catch Me If You Can,2002,8.1,1186164,"Biography, Crime, Drama"
Trainspotting,1996,8.1,756075,"Crime, Drama"
The Bridge on the River Kwai,1957,8.1,244500,"Adventure, Drama, War"
Raging Bull,1980,8.1,400187,"Biography, Drama, Sport"
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,1012301,"Adventure, Family, Fantasy"
Fargo,1996,8.1,764504,"Crime, Drama, Thriller"
The Wild Robot,2024,8.2,195039,"Animation, Adventure, Family"
Warrior,2011,8.1,519412,"Action, Drama, Sport"
Million Dollar Baby,2004,8.1,752780,"Drama, Sport"
Dead Poets Society,1989,8.1,608583,"Comedy, Drama"
Gran Torino,2008,8.1,846769,Drama
Ben-Hur,1959,8.1,266035,"Adventure, Drama"
Mad Max: Fury Road,2015,8.1,1179830,"Action, Adventure, Sci-Fi"
Barry Lyndon,1975,8.1,197096,"Adventure, Drama, War"
My Neighbour Totoro,1988,8.1,415665,"Animation, Adventure, Comedy"
Bacheha-Ye Aseman,1997,8.2,87319,"Drama, Family, Sport"
Hacksaw Ridge,2016,8.1,651280,"Biography, Drama, History"
The Grand Budapest Hotel,2014,8.1,939543,"Comedy, Drama"
12 Years a Slave,2013,8.1,771274,"Biography, Drama, History"
Before Sunrise,1995,8.1,365239,"Comedy, Drama, Romance"
Spider-Man: No Way Home,2021,8.2,974713,"Action, Adventure, Fantasy"
Blade Runner,1982,8.1,862712,"Action, Drama, Sci-Fi"
Salinui Chueok,2003,8.1,250097,"Crime, Drama, Mystery"
Gone Girl,2014,8.1,1136124,"Drama, Mystery, Thriller"
Ratatouille,2007,8.1,904092,"Animation, Adventure, Comedy"
How to Train Your Dragon,2010,8.1,865086,"Animation, Action, Adventure"
"Monsters, Inc.",2001,8.1,1042707,"Animation, Adventure, Comedy"
Jaws,1975,8.1,714055,"Adventure, Horror, Thriller"
In the Name of the Father,1993,8.1,198398,"Biography, Crime, Drama"
Relatos Salvajes,2014,8.1,232027,"Comedy, Drama, Thriller"
The Gold Rush,1925,8.1,125701,"Adventure, Comedy, Drama"
